Civic and,"Bartenders","33,130","Recreation Workers","23,130","Exercise Trainers and Group Fitness Instructors","21,890","Childcare Workers","19,150","Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","13,520","General and Operations Managers","10,920","Office Clerks, General","9,850","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","8,590","Self-Enrichment Teachers","8,140","Customer Service Representatives","7,530",
Social Advocacy,"General and Operations Managers","18,030","Social and Human Service Assistants","16,630","Animal Caretakers","11,160","Public Relations Specialists","11,110","Business Operations Specialists, All Other","8,810","Office Clerks, General","8,510","Social and Community Service Managers","7,050","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","7,020","Fundraisers","6,980","Community and Social Service Specialists, All Other","6,230",
Grantmaking and,"Fundraisers","16,550","General and Operations Managers","12,580","Business Operations Specialists, All Other","10,770","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","6,790","Public Relations Specialists","6,690","Office Clerks, General","6,550","Public Relations and Fundraising Managers","6,190","Accountants and Auditors","4,990","Fundraising Managers","4,540","Social and Human Service Assistants","4,240",
Religious Organizations,"Clergy","25,270","Directors, Religious Activities and Education","19,170","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","12,400","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","8,730","Religious Workers, All Other","8,340","Office Clerks, General","8,150","Bookkeeping, Accounting, and Auditing Clerks","7,660","Musicians and Singers","7,520","Maintenance and Repair Workers, General","7,500","Preschool Teachers, Except Special Education","7,240",
Other Personal,"Animal Caretakers","125,800","Parking Attendants","54,390","General and Operations Managers","14,260","First-Line Supervisors of Personal Service Workers","11,060","Receptionists and Information Clerks","9,560","First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors","9,530","Office Clerks, General","8,960","Animal Trainers","7,240","Exercise Trainers and Group Fitness Instructors","7,060","Cashiers","6,570",
Drycleaning and,"Laundry and Dry-Cleaning Workers","86,070","Pressers, Textile, Garment, and Related Materials","26,220","Counter and Rental Clerks","20,760","Driver/Sales Workers","20,340","General and Operations Managers","9,300","First-Line Supervisors of Production and Operating Workers","8,580","Light Truck Drivers","6,310","Customer Service Representatives","5,910","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","4,870","Janitors and Cleaners, Except Maids and Housekeeping Cleaners","4,620",
Death Care,"Funeral Attendants","32,540","Morticians, Undertakers, and Funeral Arrangers","23,460","Funeral Home Managers","13,390","Landscaping and Groundskeeping Workers","12,560","Office Clerks, General","9,540","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","7,290","Embalmers","3,800","Receptionists and Information Clerks","3,260","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","2,940","General and Operations Managers","2,590",
Personal Care,"Hairdressers, Hairstylists, and Cosmetologists","266,560","Manicurists and Pedicurists","136,110","Receptionists and Information Clerks","67,210","Massage Therapists","44,160","Skincare Specialists","43,460","First-Line Supervisors of Personal Service Workers","24,450","General and Operations Managers","20,450","Personal Care and Service Workers, All Other","12,780","Barbers","12,340","Counter and Rental Clerks","7,890",
Personal and,"Home Appliance Repairers","11,990","Motorboat Mechanics and Service Technicians","5,900","Upholsterers","5,270","Office Clerks, General","5,230","General and Operations Managers","4,120","Outdoor Power Equipment and Other Small Engine Mechanics","2,180","Tailors, Dressmakers, and Custom Sewers","2,150","First-Line Supervisors of Mechanics, Installers, and Repairers","2,130","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","2,090","Bookkeeping, Accounting, and Auditing Clerks","1,950",
Commercial and,"Industrial Machinery Mechanics","43,210","Welders, Cutters, Solderers, and Brazers","15,020","General and Operations Managers","10,870","Mobile Heavy Equipment Mechanics, Except Engines","9,530","First-Line Supervisors of Mechanics, Installers, and Repairers","8,360","Office Clerks, General","7,910","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","6,430","Machinists","6,400","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","4,940","Laborers and Freight, Stock, and Material Movers, Hand","4,820",
Electronic and,"Computer, Automated Teller, and Office Machine Repairers","13,190","Medical Equipment Repairers","10,770","General and Operations Managers","5,210","Telecommunications Equipment Installers and Repairers, Except Line Installers","5,200","Computer User Support Specialists","4,770","First-Line Supervisors of Mechanics, Installers, and Repairers","3,620","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","2,980","Shipping, Receiving, and Inventory Clerks","2,880","Office Clerks, General","2,760","Electrical and Electronics Repairers, Commercial and Industrial Equipment","2,610",
