Idaho,"Business","24,790","Food & Beverage","22,350","Retail","19,220","Services","19,020","Care Servicies","18,320","Services","16,940","Retail","15,900","Transportation & Shipping","14,030","Health & Medical","13,680","Transportation & Shipping","13,410",
Hawaii,"Food & Beverage","20,340","Retail","16,540","Services","16,530","Retail","14,790","Food & Beverage","12,950","Business","12,440","Health & Medical","11,800","Services","11,090","Education","9,800","Food & Beverage","9,510",
Georgia,"Retail","137,880","Transportation & Shipping","129,190","Food & Beverage","116,240","Services","111,510","Business","104,200","Retail","98,830","Retail","86,350","Health & Medical","82,970","Food & Beverage","76,520","Transportation & Shipping","74,970",
Florida,"Retail","298,000","Services","250,410","Retail","239,510","Retail","217,210","Health & Medical","197,630","Services","193,710","Food & Beverage","193,290","Food & Beverage","183,470","Business","180,440","Services","124,950",
District_of_Columbia,"Business Operations Specialists, All Other","36,950","Lawyers","33,610","Business","32,040","Managers, All Other","19,930","Business","19,230","Computer Occupations, All Other","17,880","Public Relations Specialists","17,400","Security Guards","14,440","Business","13,090","Services","12,630",
Delaware,"Retail","13,440","Health & Medical","11,490","Retail","11,450","Food & Beverage","10,780","Care Servicies","9,030","Business","7,540","Transportation & Shipping","7,240","Services","7,200","Services","6,960","Retail","6,840",
Connecticut,"Business","42,090","Care Servicies","41,230","Retail","39,620","Retail","37,320","Health & Medical","34,290","Retail","33,520","Services","30,140","Food & Beverage","28,880","Services","28,770","First-Line Supervisors of Office and Administrative Support Workers","26,670",
Colorado,"Retail","80,000","Food & Beverage","75,490","Health & Medical","52,390","Retail","51,350","Retail","50,200","Services","49,170","Business","46,730","Business Operations Specialists, All Other","44,240","Food & Beverage","41,770","Software Developers","40,930",
California,"Care Servicies","773,350","Food & Beverage","394,660","Retail","390,590","Transportation & Shipping","375,590","Retail","327,690","Health & Medical","325,620","Retail","302,100","Business","273,130","Services","269,790","Software Developers","258,170",
Arkansas,"Food & Beverage","36,520","Retail","32,840","Business","32,300","Transportation & Shipping","31,820","Retail","31,290","Retail","28,930","Transportation & Shipping","28,920","Health & Medical","28,490","Services","26,800","Services","19,200",
Arizona,"Services","106,950","Business","91,220","Food & Beverage","83,440","Retail","82,280","Transportation & Shipping","71,310","Care Servicies","63,390","Retail","61,790","Retail","60,920","Health & Medical","56,040","Food & Beverage","51,070",
Alaska,"Retail","8,230","Health & Medical","6,730","Retail","6,690","Business","6,390","Care Servicies","6,310","Food & Beverage","6,210","Services","5,020","Services","4,920","Retail","4,870","Bookkeeping, Accounting, and Auditing Clerks","4,690",
Alabama,"Retail","58,770","Retail","51,620","Health & Medical","49,370","Manufacturing & Wholesale","44,820","Business","44,070","Retail","44,010","Transportation & Shipping","41,060","Food & Beverage","38,640","Transportation & Shipping","36,730","Business","36,550",
Puerto Rico,"Retail","980","Retail","780","Education","660","Food & Beverage","620","Services","580","Food & Beverage","440","Retail","430","Business","430","Highway Maintenance Workers","400","Services","380",
